qsp_filename,reference_number,ndid_document_control_no,title_of_reference
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A8,C-23-HFX-000/MS-001,MARINE SYSTEMS PRIMARY ELECTRICAL POWER GENERATION AND DISTRIBUTION
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A9,C-26-320-000/MS-001,SYSTEM MANUAL APPLICABLE TO HALIFAX CLASS TECHNICAL MANUAL VOL 1 OF 2 GENERATOR SET DIESEL 850 KW
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A10,C-26-321-000/MS-001,APPLICABLE TO HFX CLASS INSTRUCTION BOOK FOR SHORE CONNECTION AND SHIP ALONGSIDE
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A11,C-26-324-000/MS-001,BOXES AND GENERATOR TEST TERMINALS INSTRUCTION BOOK FOR CASUALTY POWER SYSTEM COMPONENTS -
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A12,C-26-325-000/MS-001,APPLICABLE TO HALIFAX CLASS TECHNICAL MANUAL AUTOMATIC CHANGE-OVER SWITCH TYPE
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A13,C-26-383-A00/MS-001,"ACOS, 450 VOLTS, 660HZ, APPL. 2, 100 AMPERES TECHNICAL MANUAL - AUTOMATIC CHANGE-OVER SWITCH, ASCO 942, CATALOG NO. 435A3D, TYPE ACOS, 450 VOLTS, 60HZ, APPL.2,"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A14,C-26-383-B00/MS-001,"250 AMPERES, DRIPPROOF ENCLOSURE"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A15,C-26-383-C00/MS-001,"MANUAL CHANGE-OVER SWITCH (250 AMPS) INSTALLATION, OPERATION, AND MAINTENANCE INSTRUCTIONS"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A16,C-27-890-000/MS-002,FOR SEWAGE TREATMENT PLANT OMNIPURE MODEL 15MX3-1 CAPSTAN WINDLASS/PEDESTAL/MOTER CONTROLLER P/N 8611172/
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A17,C-28-398-000/MS-001,8712581/6968ED500 (HFX) CAPSTAN AFTER (MOORING TOWING ASSEMBLY) P/N
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A18,C-28-399-000/MS-001,8611170/8712580/ 6968ED501 (HFX) SECONDARY ELECTRICAL POWER DISTRIBUTION AND LIGHTING
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A19,C-38-224-000/MS-001,SYSTEM APPLICABLE TO HALIFAX CLASS
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A20,C-38-231-000/MS-001,TECHNICAL MANUAL CATHODIC PROTECTION (CAPAC) SYSTEM Version No: 2.0 MITE Crse ID: XXXXXX
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A21,C-38-232-000/MS-002,SUPPLIES APPLICABLE TO HALIFAX CLASS
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A22,C-51-500-000/MS-001,INSTRUCTION MANUAL SHIPS WHISTLE SYSTEM MODEL EP-130
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A23,C-57-574-000/MS-001,NAVIGATION AND WEATHERDECK LIGHTING CONTROL EQUIPMENT
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A24,,--- NAVORDS http://materiel.mil.ca/en/business-functions-materiel- management/supply-administration-manual-sam.page SUPPLY
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A25,A-LM-007-100/AG-001,ADMINISTRATION MANUAL MATERIEL MANAGEMENT POLICY INSPECTION AND CONDITIONING
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A26,C-02-005-009/AM-000,"OF MATERIEL RETURNED TO AND HELD IN SUPPLY SYSTEM Installation, Operation and Maintenance Manual for the DDH 280 Tribal Class/Halifax Class FFH 336-341 Reverse Osmosis Desalination"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A27,C-27-948-000/MS-001,"System Shipboard Reverse Osmosis Desalinator (SROD) NSN 4610-21-904- 5434 Membrane Housing Assembly Disassembly, Inspection,"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A28,C-27-948-000/MS-Z01,"Maintenance, Assembly, and Parts NAVAL PREVENTIVE MAINTENANCE SCHEDULE (HULL) BOAT, RIGID, INFLATABLE, 24 FT APPLICABLE TO HFX AND IRO CLASSES, CFNOS,"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A29,C-23-343-000/NY-001,"CFFS(E) AND NAVAL RESERVE UNITS NAVAL PREVENTIVE MAINTENANCE SCHEDULE (ENGINEERING) BOAT, RIGID, INFLATABLE 24 FT (DIESEL ENGINES, RIB-P(C) (VOLVO AQAD 41)) APPLICABLE TO HFX, IRO AND PTR CLASSES,FDU`S,"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A30,C-23-343-000/NY-003,"CFNOS, CFFS(E) AND NAVAL RESERVE UNITS NAVAL PREAVENTIVE MAINTENANCE SCHEDULE (HULL) - BOAT, RIGID, INFLATABLE 24 FT (WALTER KIDDE FM-200 FIXED FIRE SUPPRESSION SYSTEM) - APPLICABLE TO HFX, IRO AND PTR CLASSES,"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A31,C-23-343-000/NY-004,"FDU`S, CFNOS, CFFS(E) AND NAVAL RESERVE UNITS NAVAL PREVENTIVE MAINTENANCE SCHEDULE (ENGINEERING) BOAT, RIGID, INFLATABLE, 24 FT RIB P(C) (DIESEL ENGINES, RIB P(C) (VOLVO AQAD 41)) APPLICABLE TO HFX, IRO, AND PTR CLASSES,"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A32,C-23-343-000/NY-Z03,"FDU'S, CFNOS, CFFS (E) AND NAVAL RESERVE UNITS NAVAL PREVENTIVE MAINTENANCE SCHEDULE (HULL) BOAT, RIGID, INFLATABLE, 24 FT RIB P(C) APPLICABLE TO HFX, IRO, PTR CLASSES,"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A33,C-23-343-000/NY-Z04,"FDUs, CFNOS, CFFS(E) AND NAVAL RESERVE UNITS"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A34,,A-GG-040-003-AG-001 General Safety Training Program
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A35,C-23-343-000/MS-001,"MAINTENANCE MANUAL 24 FOOT RIGID INFLATABLE BOAT NAVAL PREVENTIVE MAINTENANCE SCHEDULE (ELECTRICAL) - BOAT, RIGID, INFLATABLE, 24 FT - APPLICABLE TO HFX, IRO AND PTR"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A36,C-23-343-000/NY-002,"CLASSES, FDU`S, CFNOS, CFFS(E) AND NAVAL RESERVE UNITS Version No: 2.0 MITE Crse ID: XXXXXX"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A37,C-23-343-000/NY-Z05,"CLASSES, FDU'S, CFNOS, CFFS(E) AND NAVAL RESERVE UNITS"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A38,C-03-010-546/MS-001,AC MOTOR CONTROLLERS
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A39,C-23-050-001/PT-001,LAB VOLT STUDENT MANUAL
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A40,C-98-002-CAD/FP-003,DND STANDARDS - DND DRAWING STANDARDS & CONVENTIONS OPERATION AND MAINTENANCE MANUAL - FREQUENCY CONVERTER PART NUMBER 1003720300 - TRANSFORMER/CONTACTOR ASSEMBLY PART NUMBER 1003720200
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A41,C-38-288-000/MS-001,(T/CA)PN 1003790200 APPLICABLE TO HALIFAX CLASS HANDBOOK WITH PARTS LIST SLIDING PADEYE RECEIVING UNITS BULKHEAD MOUNTED (MODEL SB-9C) AND RETRACTABLE (MODEL
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A42,C-28-463-000/MS-001,SR-12C) APPLICABLE TO HALIFAX CLASS DAMAGE CONTROL (SEA) VOLUME 1 OF 4 SHIPBOARD DAMAGE
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A43,C-23-045-000/AG-001,CONTROL DAMAGE CONTROL (SEA )VOLUME 2 OF 4 SHIPBOARD CHEMICAL
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A44,C-23-045-000/AG-002,BIOLOGICAL RADIOLOGICAL NUCLEAR (CBRN) DEFENCE
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A45,C-23-045-000/AG-003,DAMAGE CONTROL (SEA) VOLUME 3 OF 3 SHIP STABILITY DAMAGE CONTROL (SEA) VOLUME 4 OF 4 - SUBMARINE DAMAGE
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A46,C-23-045-000/AG-004,CONTROL NAMMS POLICY AND PROCEDURES - NAVAL MATERIEL
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A47,C-03-005-012/AM-001,"MANAGEMENT SYSTEM MANUAL WATERTIGHT CLOSURES - INSPECTION, MAINTENANCE AND MINOR"
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A48,C-28-010-329/MS-001,REPAIRS FOR SHIPS STAFF - APPL TO ALL SURFACE SHIPS
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A49,C-03-011-007/MS-002,HANDBOOK - INSULATION MANUAL FOR HMC SHIPS
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A50,D-23-003-005/SF-002,SPECIFICATION FOR MAINTENANCE PAINTING OF HMC SHIPS TECHNICAL BULLETIN (MARINE) DECK COVERING MATERIAL FOR
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A51,D-28-155-000/TB-003,HMC SHIPS AND SUBMARINES DESCRIPTION AND MAINTENANCE INSTRUCTIONS - WELDING
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A52,D-49-003-003/SF-001,SPECIFICATION FOR HMC SHIPS AND AUXILIARIES
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A53,D-03-001-025/SF-001,SPECIFICATION FOR REPAIR AND OVERHAUL OF MARINE VALVES DIRECTIVE NAVAL ENGINEERING MANUAL NEM DIRECTION AND
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A54,C-03-005-033/AA-000,GUIDANCE
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A55,D-23-003-005/SF-002,SPECIFICATION FOR MAINTENANCE PAINTING OF HMC SHIPS INSTRUCTION BOOK INSTALLATION AND MAINTENANCE OF VALVES
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A56,C-03-010-104/ME-000,AND FITTINGS TECHNICAL BULLETIN OPERATING INSTRUCTIONS VELON STEAM
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A57,C-25-007-001/TB-001,TRAPS FIRE FIGHTING SYSTEM TWIN AGENT UNIT (TAU) APPLICABLE TO
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A58,C-97-325-000/NY-Z01,HALIFAX CLASS CARTRIDGE AND FIREFIGHTING AGENT DRY CHEMICAL FIRE
MAR TECH_ALMI_USQ_S2_Machinery_Maintainer_QSP.pdf,A59,C-97-040-001/TB-001,EXTINGUISHERS Version No: 2.0 MITE Crse ID: XXXXXX
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,A1,,VCEOP’s
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,A2,,NAVORD’s
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,A3,,NEM
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,A4,,VCSSO’s
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,A5,,VCSOP’s Vol. 1 &2
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,A6,,Victoria Class SEMS
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,A7,,C-23-VIC-000 Quality Assurance for First Level Systems and Areas
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,A8,,MARPACORD G-108 MARPAC Lockout/Tagout Program
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,A9,,MARLANTORD 66-3 MARLANT Lockout/Tagout Program
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,A10,C-69-820-000/MB-008,SUBWOPS Vol. 3
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B1,,BR 1966(2) Firefighting Systems & Equipment
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B2,,BR 1966(3) Escape and Salvage Systems and Equipment
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B3,,BR 1966(4) VPDC Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B4,,BR 1966(5) Main Battery Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B5,,BR 1966(6) 24 VDC Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B6,,BR 1966(7) AC Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B7,,"BR 1966(8) Diesel Engines, Installation, Systems, & Equipment – Index"
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B8,,BR 1966(9) Prop: Electrical Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B9,,BR 1966(10) Prop: Mechanical Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B10,,BR 1966(11) Compressed Air & Nitrogen Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B11,,"BR 1966(12) Ventilation, Air Conditioning & Snort Induction – Index"
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B12,,BR 1966(13) Chilled Water Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B13,,BR 1966(14) Ships Hydraulic Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B14,,"BR 1966(15) Trim, Bilge & Ballast Systems"
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B15,,BR 1966(16) Ships SW System & Equipment
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B16,,BR 1966(17) Ships & Domestic FW System & Equipment
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B17,,BR 1966(18) Desalination Plant
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B18,,BR 1966(20) Surveillance System and Equipment
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B19,,BR 1966(21) Control Consoles – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B20,,"BR 1966(22) Rudder & Hydroplanes, Control System & Equip – Index"
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B21,,BR 1966(23) Masts & Associated Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B22,,BR 1966(24) Ship’s Stores Refrigeration NPTG HQ Approval - DD MM YYYY Version No 1.0 MITE Crse ID 122608
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B23,,BR 1966(25) Domestic Equipment
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B24,,BR 1966(30) Lighting Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B25,,BR 2075(K) Submarine Main Batteries
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B26,,BR 3623(01) TAB's – Ships Systems
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B27,,BR 3623(02) TAB’s – Propulsion
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B28,,BR 3623(03) TAB’s – Tactical Weapons Systems
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B29,,BR 3623(04) TAB’s – Electrical Systems
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B30,,"BR 4500(526) Static Frequency Changer, MK38SFC"
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B31,,"BR 4500(529) Static Frequency Changer, MK36SFC"
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B32,,"BR 4500(701) Batteries, Primary & Secondary BR 4569 Pressure & Differential Pressure Transducers & Associated B33 Equipment"
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B34,,BR 6528(301) Paxman Valenta Diesel Engine 16 RPA 200z
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B35,,BR 6528(303) Valenta Engines Dockyard Overhaul/Repair
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B36,,BR 8223 Breathing Apparatus
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,C1,,Propulsion Power Statement
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,C2,,Composite Drawings
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,C3,,Autopilot Manual
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,C4,,CSS Manual DRMIS- DRMIS Home Page C5 SIGRD.mil.ca/index.eng.asp NPTG HQ Approval - DD MM YYYY Version No 1.0 MITE Crse ID 122608
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B23,,BR 1966(25) Domestic Equipment
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B24,,BR 1966(30) Lighting Systems & Equipment – Index
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B25,,BR 2075(K) Submarine Main Batteries
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B26,,BR 3623(01) TAB's – Ships Systems
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B27,,BR 3623(02) TAB’s – Propulsion
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B28,,BR 3623(03) TAB’s – Tactical Weapons Systems
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B29,,BR 3623(04) TAB’s – Electrical Systems
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B30,,"BR 4500(526) Static Frequency Changer, MK38SFC"
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B31,,"BR 4500(529) Static Frequency Changer, MK36SFC"
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B32,,"BR 4500(701) Batteries, Primary & Secondary BR 4569 Pressure & Differential Pressure Transducers & Associated B33 Equipment"
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B34,,BR 6528(301) Paxman Valenta Diesel Engine 16 RPA 200z
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B35,,BR 6528(303) Valenta Engines Dockyard Overhaul/Repair
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,B36,,BR 8223 Breathing Apparatus
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,C1,,Propulsion Power Statement
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,C2,,Composite Drawings
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,C3,,Autopilot Manual
MAR TECH_ALVD_USQ_Roundsperson VIC_QSP.pdf,C4,,CSS Manual DRMIS- DRMIS Home Page C5 SIGRD.mil.ca/index.eng.asp NPTG HQ Approval - DD MM YYYY Version No 1.0 MITE Crse ID 122608
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A,,Official CAF Publications and Directives
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A1,RDIMS #629406,HDW CLASS SEMS
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A2,,SSO (AL11)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A3,,HDW CLASS FLASH UP ORDERS
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A4,,HDW CLASS PRE-SAIL CHECKLIST
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A5,,HDW HV SOP-S13
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A6,RDIMS: 461906,NAVORD 11100-1 Qualifications and Access Requirements for High Voltage Ships
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A7,C-24-715-000-MS-001,MAIN PROPULSION SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A8,C-24-718-000-MS-000,PROPULSION TRANSFORMER
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A9,C-24-719-000-MS,PROPULSION CONVERTER MV7315 VOLUME 1 – 9
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A10,C-25-583-000-MS-001,MAIN LUBE OIL SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A11,C-25-585-000-MS-001,LUBE OIL PURIFIER EQUIPMENT SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A12,C-25-586-000-MS-001,FUEL OIL SERVICE SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A13,C-25-587-000/MS-001,FUEL OIL PURIFIER SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A14,C-25-597-000-MS-001,LUBE OIL TRANSFER PUMP GP41EM- 1U2B2
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A15,C-26-541-000-MS-001,PRIMARY ELECTRICAL POWER GENERATION AND DISTRIBUTION
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A16,C-26-543-000-MS,6.6KV DISTRIBUTION SYSTEM (VOLUME 1- 4)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A17,C-38-463-000-MS-001,440V DISTRIBUTION EQUIPMENT
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A18,C-38-465-000-MS-001,440V SWITCHBOARDS
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A19,C-38-457-000-MS-001,220V DISTRIBUTION EQUIPMENT
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A20,C-26-544-000-MS,6.6kV DIESEL ENGINE ASSEMBLY
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A21,C-26-545-000-MS,6.6kV ALTERNATOR (VOLUME 1-2)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A22,C-38-475-000-MS-001,EMERGENCY HARBOUR DIESEL GENERATOR
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A23,C-38-486-000-MS-001,EMERGENCY HARBOUR DIESEL CAT ENGINE
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A24,C-38-464-000-MS-001,440V MOTOR CONTROL CENTRES
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A25,C-57-876-000-MS-001,NAVIGATION LIGHTING GROUP
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A26,C-26-546-000-MS-000,NEUTRAL GROUND RESISTOR
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A27,C-26-547-000-MS-001,AUTOMATIC VOLTAGE REUGLATOR
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A28,C-26-551-000-MS-000,BATTERY CHARGER 110 VDC UPS
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A29,C-48-355-000-MS-001,INTEGRATED PLATFORM MANAGEMENT SYSTEM (IPMS)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A30,C-38-496-000-MS-001,SHIP SERVICE UPS
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A31,C-48-406-000-MS-001,NOXIOUS GAS SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A32,C-48-407-000-MS-001,DEADMAN SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A33,C-26-556-000-MS,UPTAKES EXHAUST SYSTEM (VOLUME 002-005)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A34,C-26-557-000/ME-001,INSTALLATIONS/ASSEMBLY INSTRUCTIONS – EXHAUST SILENCER FOR MAN L32/44CR)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A35,C-26-567-000/ME-001,INSTALLATIONS/ASSEMBLY INSTRUCTIONS – MDT MEDIUM SCR SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A36,C-26-583-000-MS-000,SHIP SERVICE TRANSFORMER (VOLUME 1-3)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A37,C-27-G15-000-MS,FUEL OIL SYSTEMS (VOLUME 1-3)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A38,C-27-G17-000-MS,QUICK CLOSE VALVE ACTUATION SYSTEM (VOLUME 1-2)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A39,C-27-G19-000-MS-001,EQUIPMENT COOLING SYSTEMS
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A40,C-77-411-000-MS-001,SEAWATER SERVICE SYSTEM (VOLUME 1-2)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A41,C-27-G20-000-MS,ANTI-FOULING SYSTEM (VOLUME 1-2)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A42,C-38-442-000-MS-001,CATHODIC PROTECTION SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A43,C-27-G24-000-MS,THERMAL OIL SYSTEM (VOLUME 1-3)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A44,C-27-G73-000-MS-001,THERMAL OIL CONTROL PANEL
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A45,C-27-G25-000,TANK HEATING SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A46,C-27-G28-000-MS-001,COMPRESSED SERVICE AIR SYSTEM
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A47,C-27-H41-000-MS-001,STARTING AIR COMPRESSOR
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A48,C-27-G29-000-MS,BALLAST SYSTEM (VOLUME 1-2)
MAR TECH_AMBT_USQ_Roundsperson HDW_QSP.pdf,A49,C-27-G78-000-MS-001,BALLAST/BILGE PUMP S100-80-275N D02
MAR TECH_CPF_Diesel_Engine_Maintenance.pdf,A1,C-26-411-000/MS-001,MWM Technical Manual
MAR TECH_CPF_Diesel_Engine_Maintenance.pdf,A2,C-26-411-000/MY-001,MWM Parts Manual
